position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,3,3,0,998768640,2214068223,1215299584,1.8213351489935299,2318,4.821335148993528,4.821335148993528,2.6743532331510416
2,4,1,2,1547698176,4169523071,2621824896,0.7120758106097469,17673,1.8907406616162192,1.8907406616162192,3.2221785092566964
3,4,0,2,1547698176,4103673403,2555975228,0.7487732919724692,63890,0.03669748081812497,0.03669748136272148,0.1826209627762928
4,4,0,3,947912704,3120351241,2172438538,0.9833317847056726,27851,1.2345584914798453,1.2345584927332018,2.554586438661363
5,8,4,0,1895825408,3408868385,1513042978,1.5051941781108766,22822,1.5218623930812794,1.5218623934052058,2.5930352921580697
6,9,1,1,1058743964,2786497931,1727753968,1.3137493535224642,18709,1.8085551721656206,1.8085551754115865,1.0391766410160235
7,11,2,0,2117487928,3472832035,1355344108,1.663987962420638,25705,1.3502386083623108,1.3502386088981737,2.9981293068439383
8,11,0,0,2117487928,3468302915,1350814988,1.6688170540095832,65317,0.004829090795818638,0.0048290915889447695,0.0435801810637536
9,11,0,1,2087492208,3572654913,1485162706,1.5320261528457948,36027,0.8632090981701492,0.8632090988362116,2.169424012985421
10,13,2,2,1872384136,3301345615,1428961480,1.5876801192664978,7882,3.055653965862166,3.055653966420706,2.00196430926946
11,13,0,4,1047085600,3235880599,2188795000,0.9725103063111753,25096,1.3848301861563972,1.3848301870446744,2.7277998697306254
12,18,5,0,2094171200,3394436197,1300264998,1.7238414671140951,19466,1.7513311602768642,1.75133116080292,2.591758683263597
13,25,7,0,1029358720,2230580095,1201221376,1.8381450927003442,473,7.114303626660605,7.114303625586252,2.588427258540838
14,26,1,0,2058717440,3766850715,1708133276,1.3302266013112245,46596,0.49208150737036627,0.4920815086108775,1.4901997322276797
15,26,0,1,1969951232,3452578385,1482627154,1.5344913066194152,28442,1.2042647037129415,1.2042647053081912,1.9762552416359407
16,33,7,0,63730944,2917498623,2853767680,0.5897792535806481,1971,5.055287938956514,5.055287946961234,1.9746840324964094
17,34,1,0,127461888,3743006479,3615544592,0.24843417629152853,41515,0.6586549221684538,0.6586549227108792,1.46910223216315
18,34,0,0,127461888,3207592961,3080131074,0.4796554003577853,55831,0.23122122370684878,0.23122122406625845,0.8346961963276949
19,36,2,0,538790472,3633773255,3094982784,0.4727157616168185,16463,1.9930603630171277,1.9930603612590314,1.2193787905762468
20,38,2,1,1081641768,3527554671,2445912904,0.8122741138591643,6474,3.3395583497908268,3.3395583522423458,3.2682067406963937
21,38,0,1,1081641768,3525091440,2443449673,0.8137277558801621,65470,0.0014536415241189304,0.0014536420210000368,0.015020140237939326
22,43,5,0,1789925424,3927347343,2137421920,1.0067754266871276,3583,4.193047671789264,4.1930476708069655,2.4960398707051428
23,43,0,1,1432367200,3886801769,2454434570,0.8072564379753722,37628,0.8004810110012383,0.8004810112882457,1.7689357098388008
24,43,0,1,1432367200,3557226814,2124859615,1.015279617438047,56736,0.20802317910131138,0.20802317946267207,0.652765428324463
25,45,2,1,618830296,2287955251,1669124956,1.363555182533453,12870,2.3482755668919357,2.3482755650954084,1.505291295246811
26,47,2,0,1237660592,4026089495,2788428904,0.6231946586658914,54742,0.2596394758943337,0.2596394761324375,1.1394908723607415
27,49,2,2,932719424,2231626239,1298906816,1.7253492109298847,1908,5.102154543994488,5.102154552263992,2.4848720570046
28,53,4,0,2041810488,4144685443,2102874956,1.030284080880893,26525,1.3049348693105105,1.3049348699510104,1.5366845508576321
29,53,0,0,2041810488,4123732419,2081921932,1.0447311746041201,64883,0.01444709335741565,0.014447093723226048,0.09320468702643253
30,53,0,1,1936137328,4187253537,2251116210,0.9320066106507419,35431,0.8872754359798879,0.8872754360466203,1.5015412148592133
31,56,3,1,564368024,2184556151,1620188128,1.4064858047713749,5896,3.47447919090493,3.4744791941206343,2.2259820094522884
32,58,2,0,1128736048,4125797307,2997061260,0.5190985731415765,60615,0.11261276820802217,0.1126127683702024,0.6174233226651462
33,58,0,0,1128736048,4019654436,2890918389,0.5711192640915037,63215,0.05202069087837614,0.05202069094992486,0.27545517637120837
34,58,0,1,109988448,3364653677,3254665230,0.40013798844673687,36891,0.8290187239229089,0.8290187243552352,1.5810488651284136
35,61,3,0,270926240,3801316283,3530390044,0.2828195621041054,17772,1.882681573989996,1.882681573657369,2.4921307581442624
36,61,0,0,270926240,3760160002,3489233763,0.2997368911516958,64772,0.016917328807845345,0.016917329047589504,0.11888067803095288
37,62,1,0,541852480,4131286711,3589434232,0.2588906821915451,33709,0.9591537910056133,0.9591537910398473,1.517177215541996
38,62,0,0,541852480,4111131196,3569278717,0.2670145833957527,65168,0.00812390099658516,0.00812390120421026,0.055380151004220717
39,62,0,0,541852480,3928898429,3387045950,0.342619586879497,62190,0.07560500328206676,0.07560500348374329,0.41979082474462365
40,62,0,0,541852480,2753748117,2211895638,0.9573638282945254,42798,0.6147442410554259,0.6147442414150278,1.7875072392347768
41,62,0,2,878038596,3194561863,2316523268,0.8906859726174652,17159,1.9333221432004517,1.9333221443229387,2.354690459158311
42,62,0,2,878038596,3108208311,2230169716,0.94549364254312,63093,0.05480766952935996,0.054807669925656735,0.26049988539088936
43,62,0,2,878038596,2469368954,1591330359,1.4324137768338225,46763,0.48692013398796885,0.4869201342907027,1.6155831625229298
44,68,6,1,869090880,3234329951,2365239072,0.8606611313467241,3044,4.428247356496454,4.4282473545129015,1.7321380583389727
45,70,2,1,1328879872,3727611095,2398731224,0.8403756322030276,16616,1.9797144991553524,1.9797145008563026,3.0981269570933327
46,70,0,1,1328879872,3726403237,2397523366,0.8411022703540425,65503,0.0007266376781842033,0.0007266381510145145,0.007987334935709873
47,70,0,1,1328879872,3724391155,2395511284,0.8423135367461079,65481,0.001211266200721556,0.0012112663920672785,0.012107967995579949
48,70,0,1,1328879872,3671974724,2343094853,0.874231787551988,64102,0.03191825042293321,0.031918250805880365,0.18423149053126758
